name	gamma	Lower_Limit 
160625B	100	y
110731a	190	y
110731a	580	n
110731a	154	n
160509a	330	n
130427a	130	n
100219a	260	n
081029a	500	n
081029a	120	n
140629a	82	n
190114c	140	y
181201a	103	n
160625b	58	n
080319b	520	n
130427a	550	n
191016a	90	y
201015a	204	n
201216c	310	n
070208a	115	n
080319c	301	n
990123a	966	n
021211a	282	y
050319a	337	y
050525a	384	y
050922c	401	n
051111a	395	y
060210a	381	n
060908a	455	y
060912a	307	y
061021a	363	y
071003a	483	y
071010b	309	n
071112c	244	n
080319b	486	y
050416A	43.7	y
050802a	10.3	y
050814a	36.6	y
050814a	20.1	y
050820a	12.3	y
050904a	20.8	y
050904a	30.9	y
050904a	24.7	y
050904a	25.4	y
050904a	55.9	y
050904a	34.9	y
050904a	14.3	y
051016b	15.1	y
060115a	38.7	y
060124a	5.3	y
060124a	27.2	y
060210a	45.9	y
060210a	63.3	y
060418a	62.2	y
060526a	12.3	y
060526a	20	y
060526a	17.9	y
060526a	29.1	y
060707a	12.2	y
060714a	68	y
060714a	30.8	y
060714a	44.4	y
060714a	37.3	y
060729a	4.5	y
060814a	28.1	y
060906a	56	y
060906a	80.1	y
070306a	25.3	y
070318a	8.8	y
070318a	9.3	y
070721Ba	56.5	y
070721Ba	62.9	y
070721Ba	74.6	y
071031a	17.3	y
071031a	27.8	y
071031a	29.8	y
071031a	25.8	y
080210a	38.3	n
080810a	43.7	n
080810a	80.7	n
080928a	29.2	n
080928a	24.3	n
081008a	55.8	n
100906a	49.4	n
110801a	29.2	n
110801a	62.7	n
12102a	17.1	n
121024a	23.0	n
121211a	34.2	n
130427b	33.4	n
130606a	37.7	n
130606a	19.6	n
130606a	44.9	n
130606a	106.6	n
130606a	39.6	n
140512a	28.6	n
140515a	87.2	n
